Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,3.81,-9.906,0.0,top
C10,1uF,C_0402_1005Metric,-2.032,-10.64,90.0,top
C11,10uF,C_0402_1005Metric,-8.1,-11.684,180.0,top
C2,1uF,C_0402_1005Metric,1.778,-6.83,-90.0,top
C3,0.1uF,C_0402_1005Metric,-12.446,-11.43,180.0,top
C4,22uF,C_0603_1608Metric,-10.922,11.417,90.0,top
C5,0.1uF,C_0402_1005Metric,-9.398,11.176,90.0,top
C6,0.1uF,C_0402_1005Metric,9.906,13.208,0.0,top
C7,0.1uF,C_0402_1005Metric,-11.43,-7.874,90.0,top
C8,0.1uF,C_0402_1005Metric,12.192,-9.116,-90.0,top
C9,0.1uF,C_0402_1005Metric,12.672,-11.43,0.0,top
D1,green,LEDC1005X55N,-17.78,11.938,0.0,top
D2,red,LEDC1005X55N,17.738,11.938,180.0,top
D3,1N5819HW-7-F,SOD3716X145N,8.89,-10.414,180.0,top
D4,red,LEDC1005X55N,-8.382,-10.16,180.0,top
IC1,ESP32-S3-MINI-1-N8,ESP32S3MINI1N8,0.0,6.462,0.0,top
IC2,AP2112K-3.3TRG1,SOT95P285X140-5N,4.318,-7.112,90.0,top
IC3,INA226AIDGSR,SOP50P490X110-10N,-8.89,-6.182,-90.0,top
IC4,MAX17048G+T10,SON50P200X200X80-9N-D,11.684,-6.35,90.0,top
IC5,TP4054,SOT95P280X100-5N,-4.826,-10.414,0.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,-0.002,-15.819,0.0,top
Q1,DMP2045U-7,SOT96P240X115-3N,8.382,-6.604,90.0,top
R1,1k,R_0402_1005Metric,-10.668,-10.922,90.0,top
R10,4.7k,R_0402_1005Metric,10.16,4.318,180.0,top
R11,4.7k,R_0402_1005Metric,-9.652,0.51,90.0,top
R12,4.7k,R_0402_1005Metric,-9.652,2.796,-90.0,top
R13,4.7k,R_0402_1005Metric,10.16,3.048,180.0,top
R14,330,R_0402_1005Metric,14.984,12.446,180.0,top
R15,33,R_0402_1005Metric,-14.986,11.938,0.0,top
R16,330,R_0402_1005Metric,14.986,11.43,180.0,top
R17,4.7k,R_0402_1005Metric,5.334,-4.064,180.0,top
R18,4.7k,R_0402_1005Metric,3.302,-4.064,180.0,top
R2,2k,R_0402_1005Metric,-2.794,-8.128,0.0,top
R5,10k,R_0402_1005Metric,9.906,11.938,180.0,top
R6,5.1k 1%,R_0402_1005Metric,-0.762,-10.668,-90.0,top
R7,5.1k 1%,R_0402_1005Metric,1.778,-10.668,-90.0,top
R8,33 mOhm 1% 250mW,R_0805_2012Metric,-5.588,-6.5005,90.0,top
R9,100k,R_0402_1005Metric,5.588,-10.668,90.0,top
S1,PTS820J25MSMTRLFS,PTS820J25MSMTRLFS,-9.144,-15.24,180.0,top
S2,PTS820J25MSMTRLFS,PTS820J25MSMTRLFS,9.144,-15.24,0.0,top
