Comment,Designator,Footprint,LCSC,Quantity
BSS138BK,Q3,TL431CDBZR215,C112239,1
2.2uF,"C11,C12",C_0402_1005Metric,C12530,2
0.1uF,"C1,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525,6
SolderJumper_2_Open,"JP2,JP5,JP7",R_0402_1005Metric,C17168,3
TPS60150DRVR,IC6,SON65P200X200X80-7N,C182429,1
BSS138PS,IC7,SOT65P210X110-6N,C193381,1
4.7uF,C10,C_0402_1005Metric,C23733,1
470,R12,R_0402_1005Metric,C25117,1
10k,"R1,R10,R11,R2,R3,R4,R7,R8,R9",R_0402_1005Metric,C25744,9
"LM75BDP,118",IC3,SOP65P490X110-8N,C33099,1
XL-0807RGBC-WS2812B,"LED1,LED2,LED3",XL0807RGBCWS2812B,C3646929,3
M24C02-RMC6TG,IC1,M24C16RMC6TG,C495258,1
SGP30-2.5k,IC2,SON80P245X245X90-7N,C514454,1
1uF,"C2,C3,C4",C_0402_1005Metric,C52923,3
TLV70018DDCR,IC5,SOT95P280X110-5N,C79924,1
OPT3001DNPR,IC4,SON65P200X200X65-7N-D,C90462,1
