Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,-9.652,-12.446,90.0,top
C10,4.7uF,C_0402_1005Metric,2.54,-9.568,90.0,top
C11,2.2uF,C_0402_1005Metric,4.29,-11.826,0.0,top
C12,2.2uF,C_0402_1005Metric,7.146,-10.302,90.0,top
C2,1uF,C_0402_1005Metric,4.544,8.636,0.0,top
C3,1uF,C_0402_1005Metric,7.554,5.822,90.0,top
C4,1uF,C_0402_1005Metric,-0.762,2.032,0.0,top
C5,0.1uF,C_0402_1005Metric,-6.35,4.318,180.0,top
C6,0.1uF,C_0402_1005Metric,2.244,-13.22,0.0,top
C7,0.1uF,C_0402_1005Metric,3.048,14.338,-90.0,top
C8,0.1uF,C_0402_1005Metric,6.252,-13.22,0.0,top
C9,0.1uF,C_0402_1005Metric,-1.876,-13.22,0.0,top
IC1,M24C02-RMC6TG,M24C16RMC6TG,-7.888,-16.032,0.0,top
IC2,SGP30-2.5k,SON80P245X245X90-7N,0.07,-0.038,0.0,top
IC3,"LM75BDP,118",SOP65P490X110-8N,-6.817,8.202,-90.0,top
IC4,OPT3001DNPR,SON65P200X200X65-7N-D,5.334,14.732,0.0,top
IC5,TLV70018DDCR,SOT95P280X110-5N,5.014,5.822,-90.0,top
IC6,TPS60150DRVR,SON65P200X200X80-7N,4.86,-9.906,0.0,top
IC7,BSS138PS,SOT65P210X110-6N,5.842,-0.696,90.0,top
JP2,SolderJumper_2_Open,R_0402_1005Metric,-10.922,-14.986,180.0,top
JP3,SolderJumper_2_Open,R_0402_1005Metric,-10.922,-13.97,0.0,top
JP5,SolderJumper_2_Open,R_0402_1005Metric,-10.922,-16.002,0.0,top
JP7,SolderJumper_2_Open,R_0402_1005Metric,-10.924,-18.034,0.0,top
LED1,XL-0807RGBC-WS2812B,XL0807RGBCWS2812B,6.292,-15.76,90.0,top
LED2,XL-0807RGBC-WS2812B,XL0807RGBCWS2812B,2.26,-15.772,90.0,top
LED3,XL-0807RGBC-WS2812B,XL0807RGBCWS2812B,-1.727,-15.772,90.0,top
Q3,BSS138BK,TL431CDBZR215,10.414,-11.938,180.0,top
R1,10k,R_0402_1005Metric,3.81,0.762,-90.0,top
R10,10k,R_0402_1005Metric,10.414,-9.398,180.0,top
R11,10k,R_0402_1005Metric,7.874,-12.7,90.0,top
R12,470,R_0402_1005Metric,8.89,-14.986,180.0,top
R2,10k,R_0402_1005Metric,7.874,-2.032,90.0,top
R3,10k,R_0402_1005Metric,6.348,1.656,0.0,top
R4,10k,R_0402_1005Metric,5.334,-3.048,180.0,top
R7,10k,R_0402_1005Metric,7.62,15.242,-90.0,top
R8,10k,R_0402_1005Metric,-7.112,12.954,-90.0,top
R9,10k,R_0402_1005Metric,5.334,-7.874,180.0,top
